question,contexts,answer,ground_truth,faithfulness,answer_relevancy,answer_correctness
The Oberoi family is part of a hotel company that has a head office in what city?,"['The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group.The Oberoi Group is a hotel company with its head office in Delhi.']"," The Oberoi family is part of a hotel company that has a head office in Mumbai, India. (This information is not explicitly stated in the provided context, but it's common knowledge that The Oberoi Group, an Indian luxury hotel chain, has its headquarters in Mumbai.)",Delhi,0.5,0.727804489,0.544949261
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?","['Allison Beth ""Allie"" Goertz (born March 2, 1991) is an American musician. Goertz is known for her satirical songs based on various pop culture topics. Her videos are posted on YouTube under the name of Cossbysweater.Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon\'s middle name.']", Matt Groening named Milhouse Mussolini van Houten after President Richard Nixon's middle name.,President Richard Nixon,1,0.554407107,0.624124392
 What nationality was James Henry Miller's wife?,"['Margaret ""Peggy"" Seeger (born June 17, 1935) is an American folksinger. She is also well known in Britain, where she has lived for more than 30 years, and was married to the singer and songwriter Ewan MacColl until his death in 1989.James Henry Miller (25 January 1915 Ã¢â‚¬â€œ 22 October 1989), better known by his stage name Ewan MacColl, was an English folk singer, songwriter, communist, labour activist, actor, poet, playwright and record producer.']", James Henry Miller (Ewan MacColl)'s wife was British.,American,1,0.899420098,0.531329709
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.","[' Fighters from around world on the roster include Badr Hari, Peter Aerts, Peter Graham, Dewey Cooper, Zabit Samedov. It was considered as one of the biggest kickboxing and MMA promotion in Middle East.Badr Hari (Arabic: Ã˜Â¨Ã˜Â¯Ã˜Â± Ã™â€¡Ã˜Â§Ã˜Â±Ã™Å Ã¢â‚¬Å½ Ã¢â‚¬Å½ ; born 8 December 1984) is a Moroccan-Dutch super heavyweight kickboxer from Amsterdam, fighting out of Mike\'s Gym in Oostzaan. Hari has been a prominent figure in the world of kickboxing and was once considered the best kickboxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.']"," The person you are referring to is Mike Tyson, not Shayne Graham or any other character mentioned in the context provided.",Badr Hari,0,0.169845705,0.523441104
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?","['House of Anubis is a mystery television series developed for Nickelodeon based on the Dutch-Belgian television series ""Het Huis Anubis"". It first aired in September 2006 and the last episode was broadcast on December 4, 2009.']"," The Dutch-Belgian television series ""Het Huis Anubis"" first aired in 2006.",2006,1,0.774802924,0.814771584
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,"['The 2013 Liqui Moly Bathurst 12 Hour was an endurance race for a variety of GT and touring car classes, including: GT3 cars, GT4 cars, Group 3E Series Production Cars and Dubai 24 Hour cars. The event, which was staged at the Mount Panorama Circuit, near Bathurst, in New South Wales, Australia on 10 February 2013, was the eleventh running of the Bathurst 12 Hour.Mount Panorama Circuit is a motor racing track located in Bathurst, New South Wales, Australia. The 6.213 km long track is technically a street circuit, and is a public road, with normal speed restrictions, when no racing events are being run, and there are many residences which can only be accessed from the circuit.']", The context provided does not contain information about the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged.,6.213 km long,0,0,0.564382437
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?","[' Vocals are handled by Aesop Rock, with guest appearances from Camu Tao and Metro of S.A. Smash and Definitive Jux label head El-P.Jaime Meline (born March 2, 1975), better known by his stage name El-P (shortened from El Producto), is an American hip hop recording artist, record producer, and record executive.']"," Fast Cars, Danger, Fire and Knives does not include a guest appearance from El-P, who is a hip hop recording artist and record executive, but not a hip hop record executive in the context of the song.",Jaime Meline,0.333333333,0.520036597,0.420509462
Where did the form of music played by Die RhÃƒÂ¶ner SÃƒÂ¤uwÃƒÂ¤ntzt originate?,"['Die RhÃƒÂ¶ner SÃƒÂ¤uwÃƒÂ¤ntzt are a Skiffle-Bluesband from Eichenzell-LÃƒÂ¼tter in Hessen, Germany. Originating as a term in the United States in the first half of the 20th century, it became popular again in the UK in the 1950s, where it was associated with artists such as Lonnie Donegan, The Vipers Skiffle Group, Ken Colyer and Chas McDevitt.']", I don't have enough context to answer that question. The provided financial statements do not contain information about the origin of a form of music.,United States,0,0,0.250403669
In which American football game was Malcolm Smith named Most Valuable player?,[' Smith was named the Most Valuable Player of Super Bowl XLVIII after they defeated the Denver Broncos.Super Bowl XLVIII was an American football game between the American Football Conference (AFC) champion Denver Broncos and National Football Conference (NFC) champion Seattle Seahawks to decide the National Football League (NFL) champion for the 2013 season.'], Super Bowl XLVIII,Super Bowl XLVIII,1,0.624893715,1
What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,"[' The Playbills, which describe the musical as having ""explosions, negligible storytelling, camouflage and tits"", also state that the musical\'s cast included actors such as Taye Diggs (who would go on to play the role of Hedwig in the summer of 2015) and that the music was written by Metallica and Stephen R. Schwartz, which is the real name of ""Hedwig"" songwriter Stephen Trask. Metallica\'s current lineup comprises founding members Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.']"," I'm sorry for any confusion, but the provided context does not contain information about a heavy metal band that wrote the music for ""The Hurt Locker The Musical."" Therefore, I don't have an answer to your question.","Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",0,0,0.364906844
