question,contexts,answer,ground_truth,faithfulness,answer_relevancy,answer_correctness
The Oberoi family is part of a hotel company that has a head office in what city?,"['The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group.The Oberoi Group is a hotel company with its head office in Delhi.']", Delhi,Delhi,1,0.729919225,0.75
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?","['Allison Beth ""Allie"" Goertz (born March 2, 1991) is an American musician. Goertz is known for her satirical songs based on various pop culture topics. Her videos are posted on YouTube under the name of Cossbysweater.Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon\'s middle name.']", Richard Nixon,President Richard Nixon,0.5,0.60006047,0.738722064
 What nationality was James Henry Miller's wife?,"['Margaret ""Peggy"" Seeger (born June 17, 1935) is an American folksinger. She is also well known in Britain, where she has lived for more than 30 years, and was married to the singer and songwriter Ewan MacColl until his death in 1989.James Henry Miller (25 January 1915 â€“ 22 October 1989), better known by his stage name Ewan MacColl, was an English folk singer, songwriter, communist, labour activist, actor, poet, playwright and record producer.']"," American (Margaret ""Peggy"" Seeger)",American,1,0.13989331,0.855579691
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.","[' Fighters from around world on the roster include Badr Hari, Peter Aerts, Peter Graham, Dewey Cooper, Zabit Samedov. It was considered as one of the biggest kickboxing and MMA promotion in Middle East.Badr Hari (Arabic: Ø¨Ø¯Ø± Ù‡Ø§Ø±ÙŠâ€Ž â€Ž ; born 8 December 1984) is a Moroccan-Dutch super heavyweight kickboxer from Amsterdam, fighting out of Mike\'s Gym in Oostzaan. Hari has been a prominent figure in the world of kickboxing and was once considered the best kickboxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.']", Badr Hari,Badr Hari,1,0.248605683,0.625
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?","['House of Anubis is a mystery television series developed for Nickelodeon based on the Dutch-Belgian television series ""Het Huis Anubis"". It first aired in September 2006 and the last episode was broadcast on December 4, 2009.']",1997,2006,0,0.641857049,0.66356615
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,"['The 2013 Liqui Moly Bathurst 12 Hour was an endurance race for a variety of GT and touring car classes, including: GT3 cars, GT4 cars, Group 3E Series Production Cars and Dubai 24 Hour cars. The event, which was staged at the Mount Panorama Circuit, near Bathurst, in New South Wales, Australia on 10 February 2013, was the eleventh running of the Bathurst 12 Hour.Mount Panorama Circuit is a motor racing track located in Bathurst, New South Wales, Australia. The 6.213 km long track is technically a street circuit, and is a public road, with normal speed restrictions, when no racing events are being run, and there are many residences which can only be accessed from the circuit.']",6.213 km,6.213 km long,1,0.361071939,0.968061733
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?","[' Vocals are handled by Aesop Rock, with guest appearances from Camu Tao and Metro of S.A. Smash and Definitive Jux label head El-P.Jaime Meline (born March 2, 1975), better known by his stage name El-P (shortened from El Producto), is an American hip hop recording artist, record producer, and record executive.']", El-P,Jaime Meline,0.5,0.387832626,0.429997476
Where did the form of music played by Die RhÃ¶ner SÃ¤uwÃ¤ntzt originate?,"['Die RhÃ¶ner SÃ¤uwÃ¤ntzt are a Skiffle-Bluesband from Eichenzell-LÃ¼tter in Hessen, Germany. Originating as a term in the United States in the first half of the 20th century, it became popular again in the UK in the 1950s, where it was associated with artists such as Lonnie Donegan, The Vipers Skiffle Group, Ken Colyer and Chas McDevitt.']", Skiffle-Blues originated in the United States.,United States,0.5,0.376343647,0.808963535
In which American football game was Malcolm Smith named Most Valuable player?,[' Smith was named the Most Valuable Player of Super Bowl XLVIII after they defeated the Denver Broncos.Super Bowl XLVIII was an American football game between the American Football Conference (AFC) champion Denver Broncos and National Football Conference (NFC) champion Seattle Seahawks to decide the National Football League (NFL) champion for the 2013 season.'], Super Bowl XLVIII,Super Bowl XLVIII,1,0.694669514,1
What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,"[' The Playbills, which describe the musical as having ""explosions, negligible storytelling, camouflage and tits"", also state that the musical\'s cast included actors such as Taye Diggs (who would go on to play the role of Hedwig in the summer of 2015) and that the music was written by Metallica and Stephen R. Schwartz, which is the real name of ""Hedwig"" songwriter Stephen Trask. Metallica\'s current lineup comprises founding members Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.']"," Metallica's current lineup comprises James Hetfield, Lars Ulrich, Kirk Hammett, and Robert Trujillo.","Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",1,0.692536691,0.941856147
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?","[""Joseph John â€œJoeâ€\x9d Heck (born October 30, 1961) is an American politician, physician, and U.S. Army Brigadier General who had served as the U.S. Representative for Nevada's 3rd congressional district from 2011 to 2017. He ran unsuccessfully against Democrat Catherine Cortez Masto in the general election for the open Nevada United States Senate seat in 2016. She previously served as the 32nd Attorney General of Nevada from 2007 to 2015.""]", Nevada,Nevada,1,0.371954594,1
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?","['Courtney Michelle Love (born Courtney Michelle Harrison; July 9, 1964) is an American singer, songwriter, actress, and visual artist. She rose to prominence as the frontwoman of the alternative rock band Hole, which she formed in 1989.The Wolfhounds are an indie pop/noise pop band formed in Romford, UK in 1985 by Dave Callahan, Paul Clark, Andy Golding, Andy Bolton and Frank Stebbing, and originally active until 1990.']", The Wolfhounds were founded first.,The Wolfhounds,1,0.562163824,0.684050719
How old is the female main protagonist of Catching Fire?,"['Catching Fire is a 2009 science fiction young adult novel by the American novelist Suzanne Collins, the second book in ""The Hunger Games trilogy"". It is written in the voice of 16-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America.']",16 years old,16-year-old,1,0.805861863,0.978543964
Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,"['The Quality Cafe (also known as Quality Diner) is a now-defunct diner at 1236 West 7th Street in Los Angeles, California. The restaurant ceased to function as a diner in late 2006 but has appeared as a location featured in a number of Hollywood films, including ""Training Day"", ""Old School"", ""Se7en"", ""Ghost World"", ""Gone in 60 Seconds"", ""The Stepfather"", ""What\'s Love Got to Do with It"", ""Sex and Death 101"", and ""Catch Me If You Can.""Old School is a 2003 American comedy film released by DreamWorks Pictures and The Montecito Picture Company and directed by Todd Phillips.']", Todd Phillips,Todd Phillips,0.5,0.372886498,1
"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?","[' It helped jump start the careers of several young performers including Paul Lynde, Alice Ghostley, Eartha Kitt, Robert Clary, Carol Lawrence, Ronny Graham, performer/writer Mel Brooks (as Melvin Brooks), and lyricist Sheldon Harnick.Carol Lawrence (born September 5, 1932) is an American actress, most often associated with musical theatre, but who has also appeared extensively on television.']", Carol Lawrence,Carol Lawrence,0.666666667,0.18107037,1
Were Pavel Urysohn and Leonid Levin known for the same type of work?,"[""Pavel Samuilovich Urysohn (ÐŸÐ°Ì\x81Ð²ÐµÐ» Ð¡Ð°Ð¼ÑƒÐ¸Ì\x81Ð»Ð¾Ð²Ð¸Ñ‡ Ð£Ñ€Ñ‹Ñ\x81Ð¾Ì\x81Ð½ ) (February 3, 1898 â€“ August 17, 1924) was a Soviet mathematician of Jewish origin who is best known for his contributions in dimension theory, and for developing Urysohn's Metrization Theorem and Urysohn's Lemma, both of which are fundamental results in topology.Leonid Anatolievich Levin ( ; Russian: Ð›ÐµÐ¾Ð½Ð¸Ì\x81Ð´ Ð\x90Ð½Ð°Ñ‚Ð¾Ì\x81Ð»ÑŒÐµÐ²Ð¸Ñ‡ Ð›ÐµÌ\x81Ð²Ð¸Ð½ ; Ukrainian: Ð›ÐµÐ¾Ð½Ñ–Ì\x81Ð´ Ð\x90Ð½Ð°Ñ‚Ð¾Ì\x81Ð»Ñ–Ð¹Ð¾Ð²Ð¸Ñ‡ Ð›ÐµÌ\x81Ð²Ñ–Ð½ ; born November 2, 1948) is a Soviet-American computer scientist.""]"," No, Pavel Urysohn was a mathematician known for his contributions to dimension theory and topology, while Leonid Levin is a computer scientist.",no,1,0.34188973,
Where is the company that purchased Aixam based in?,"[' On April 11, 2013, US based Polaris Industries announced that it had acquired Aixam-Mega. Polaris is based in Roseau, Minnesota, USA.']"," Roseau, Minnesota, USA","Roseau, Minnesota, USA",1,0.411257831,1
"Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ","['The University of Providence (UP) (renamed from University of Great Falls in July 2017), is a private Roman Catholic university located in Great Falls, Montana within the Diocese of Great Fallsâ€“Billings. The university is accredited by the Northwest Association of Schools and Colleges.Great Falls is a city in and the county seat of Cascade County, Montana, United States. Great Falls remained the second largest city in Montana until 2000, when it was passed by Missoula. Since then Great Falls has been the third largest city in the state.']", The University of Providence is a Roman Catholic institution.,Roman Catholic,1,0.648367539,0.624073762
