question,contexts,answer,ground_truth,faithfulness,answer_relevancy,answer_correctness
"What was a single released in 1959 and peaked at number 4 on the ""Billboard"" Hot 100, performed by an American country-influenced rock and roll duo, known for steel-string acoustic guitar playing and close harmony singing?","['""(\'Till) I Kissed You"" is a song written by Don Everly of The Everly Brothers. It was released as a single in 1959 and peaked at number 4 on the ""Billboard"" Hot 100.The Everly Brothers were an American country-influenced rock and roll duo, known for steel-string acoustic guitar playing and close harmony singing.']"," ""Needles and Pins"" was a single released in 1959 that peaked at number 4 on the ""Billboard"" Hot 100, performed by American country-influenced rock and roll duo Janis Ian & Barry McGuire. However, this question seems to be about a different duo, as Janis Ian & Barry McGuire were not known for their association with steel-string acoustic guitar playing or close harmony singing until later in their careers.",'Till) I Kissed You,0.16666666666666666,0.0,
Are Ima Robot and Of Montreal music bands ?,"['Ima Robot is a band based in Los Angeles, California that formed in the late 1990s.of Montreal is an American experimental pop band from Athens, Georgia.']"," Yes, both Ima Robot and Of Montreal are music bands.",yes,1.0,0.9999999999999493,0.8091948404266134
How long is the river on which Wilbur Dam is located?,"['Wilbur Dam is a hydroelectric dam on the Watauga River in Carter County, in the U.S. state of Tennessee.The Watauga River is a large stream of western North Carolina and East Tennessee. It is 78.5 mi long with its headwaters on the slopes of Grandfather Mountain and Peak Mountain in Watauga County, North Carolina.']"," The Watauga River, where Wilbur Dam is located, is 78.5 miles long.",78.5 mi,1.0,0.5784475644888599,0.5876770335416488
"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?","['Kota Shivaram Karanth (10 October 1902 â€“ 9 December 1997) was a Kannada writer, social activist, environmentalist, Yakshagana artist, film maker and thinker.Yakshagana ( Kannada : ""à²¯à²•à³\x8dà²·à²—à²¾à²¨"", Tulu : ""à²†à²Ÿ"") is a traditional theatre form that combines dance, music, dialogue, costume, make-up, and stage techniques with a unique style and form.']"," K. Shivaram Karanth is a theater artist, specifically known for his work in Yakshagana.",Yakshagana,1.0,0.7453276671413173,0.72647978791282
What is the actor who starred in School Spirit best known for?,"[' The film was directed by Alan Holleb, and stars Tom Nolan, Roberta Collins, and Larry Linville. He was best known for his portrayal of the surgeon Major Frank Burns on the television series ""M*A*S*H"".']"," Elyes Gabel is best known for his roles in television series, not specifically ""School Spirit.""",surgeon Major Frank Burns,0.0,0.3300909810424995,0.4104140182743031
"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?","['The Now Show is a British radio comedy broadcast on BBC Radio 4, which satirises the week\'s news. The show also features skits from Jon Holmes, Laura Shavin (earlier series had Emma Kennedy, or occasionally Sue Perkins, for the female voices), a monologue by Marcus Brigstocke, and music by Mitch Benn, Pippa Evans or Adam Kay.Susan Elizabeth ""Sue"" Perkins (born 22 September 1969) is an English comedian, broadcaster, actress and writer, born in East Dulwich, south London.']"," East Dulwich, as Sue Perkins was born there in 1969.",East Dulwich,1.0,0.2057781937385358,0.7553979953556875
"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?","['Bralorne is an historic Canadian gold mining community in the Bridge River District, some eighty dirt road miles west of the town of Lillooet.Dome Mine is situated in the City of Timmins, Ontario, Canada; and was developed during the Porcupine Gold Rush.']"," Bralore, not Dome Mine, is located in the Bridge River District.",Bralorne,0.5,0.45110954019028865,0.5911710644944626
 Portrait of Wally is a 1912 oil painting by a protÃ©gÃ© of Gustav Klimt whose work is noted for its intensity and what?,"['Portrait of Wally is a 1912 oil painting by Austrian painter Egon Schiele of Walburga ""Wally"" Neuzil, a woman whom he met in 1911 when he was 21 and she was 17.Egon Schiele (] ; 12 June 1890 â€“ 31 October 1918) was an Austrian painter. A protÃ©gÃ© of Gustav Klimt, Schiele was a major figurative painter of the early 20th century. His work is noted for its intensity and its raw sexuality, and the many self-portraits the artist produced, including naked self-portraits.']", The work of the protÃ©gÃ© of Gustav Klimt who painted Portrait of Wally is noted for its raw sexuality.,raw sexuality,0.0,0.312452368225603,0.5904115815627237
"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?","['Stephen Williams (born 5 June 1961) is a former Australian rules footballer in the South Australian National Football League, playing for the Port Adelaide Magpies and is currently an assistant development coach at Port Adelaide Power and head coach of the Immanuel College first XVIII.Immanuel College, is a Lutheran school in Adelaide, South Australia.']"," Stephen Williams is not the head coach of a Lutheran school in Adelaide, South Australia. The information provided pertains to Robert Stoops and David Cutcliffe, who are coaches of American college football teams.",Immanuel College,0.25,0.0,0.5436033131865333
"Abraham RoqueÃ±i Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?","[' He holds notable wins over Gago Drago, Luis Reis, Andy Souwer and Artur Kyshenko. He is two time K-1 World MAX champion (2005, 2007) as well as a four time Shootboxing World tournament champion, fighting out of Mejiro Gym, Amsterdam, Netherlands.']", Abraham RoqueÃ±i Iglesias did not fight Andy Souwer during his career. The provided context is about American football players and kickers from the 2008 NFL season.,"2005, 2007",0.25,0.7098936756766064,0.21160349902505607
