Unnamed: 0,id,contexts,question,ground_truth,label,source_ds,answer
3901,halueval-1,"['The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group.The Oberoi Group is a hotel company with its head office in Delhi.']",The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,PASS,halueval,The Oberoi family is part of a hotel company with a head office in Delhi.
3902,halueval-2,"['Allison Beth ""Allie"" Goertz (born March 2, 1991) is an American musician. Goertz is known for her satirical songs based on various pop culture topics. Her videos are posted on YouTube under the name of Cossbysweater.Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon\'s middle name.']","Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,PASS,halueval,"Allie Goertz's song is about Milhouse, who was named by Matt Groening after President Richard Nixon (Milhouse Mussolini van Houten's middle name)."
3903,halueval-3,"['Margaret ""Peggy"" Seeger (born June 17, 1935) is an American folksinger. She is also well known in Britain, where she has lived for more than 30 years, and was married to the singer and songwriter Ewan MacColl until his death in 1989.James Henry Miller (25 January 1915 â€“ 22 October 1989), better known by his stage name Ewan MacColl, was an English folk singer, songwriter, communist, labour activist, actor, poet, playwright and record producer.']", What nationality was James Henry Miller's wife?,American,PASS,halueval,American (Peggy Seeger)
3907,halueval-7,"[' Fighters from around world on the roster include Badr Hari, Peter Aerts, Peter Graham, Dewey Cooper, Zabit Samedov. It was considered as one of the biggest kickboxing and MMA promotion in Middle East.Badr Hari (Arabic: Ø¨Ø¯Ø± Ù‡Ø§Ø±ÙŠ\u200e \u200e ; born 8 December 1984) is a Moroccan-Dutch super heavyweight kickboxer from Amsterdam, fighting out of Mike\'s Gym in Oostzaan. Hari has been a prominent figure in the world of kickboxing and was once considered the best kickboxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.']","Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",Badr Hari,PASS,halueval,"Badr Hari was once considered the best kickboxer in the world, but he has been involved in various controversies related to unsportsmanlike conducts in the sport and violent crimes outside of it."
3908,halueval-8,"['House of Anubis is a mystery television series developed for Nickelodeon based on the Dutch-Belgian television series ""Het Huis Anubis"". It first aired in September 2006 and the last episode was broadcast on December 4, 2009.']","The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",2006,PASS,halueval,"The Dutch-Belgian television series ""Het Huis Anubis"" first aired in the year 2006."
3909,halueval-9,"['The 2013 Liqui Moly Bathurst 12 Hour was an endurance race for a variety of GT and touring car classes, including: GT3 cars, GT4 cars, Group 3E Series Production Cars and Dubai 24 Hour cars. The event, which was staged at the Mount Panorama Circuit, near Bathurst, in New South Wales, Australia on 10 February 2013, was the eleventh running of the Bathurst 12 Hour.Mount Panorama Circuit is a motor racing track located in Bathurst, New South Wales, Australia. The 6.213 km long track is technically a street circuit, and is a public road, with normal speed restrictions, when no racing events are being run, and there are many residences which can only be accessed from the circuit.']",What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,6.213 km long,PASS,halueval,"The length of the Mount Panorama Circuit, where the 2013 Liqui Moly Bathurst 12 Hour was staged, is 6.213 km long."
3910,halueval-10,"[' Vocals are handled by Aesop Rock, with guest appearances from Camu Tao and Metro of S.A. Smash and Definitive Jux label head El-P.Jaime Meline (born March 2, 1975), better known by his stage name El-P (shortened from El Producto), is an American hip hop recording artist, record producer, and record executive.']","Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",Jaime Meline,PASS,halueval,"The song ""Fast Cars, Danger, Fire and Knives"" features guest appearance from El-P, the American hip hop record executive."
3912,halueval-12,"['Die RhÃ¶ner SÃ¤uwÃ¤ntzt are a Skiffle-Bluesband from Eichenzell-LÃ¼tter in Hessen, Germany. Originating as a term in the United States in the first half of the 20th century, it became popular again in the UK in the 1950s, where it was associated with artists such as Lonnie Donegan, The Vipers Skiffle Group, Ken Colyer and Chas McDevitt.']",Where did the form of music played by Die RhÃ¶ner SÃ¤uwÃ¤ntzt originate?,United States,PASS,halueval,"The form of music played by Die RhÃ¶ner SÃ¤uwÃ¤ntzt originated in the United States, but gained popularity again in the UK."
3913,halueval-13,[' Smith was named the Most Valuable Player of Super Bowl XLVIII after they defeated the Denver Broncos.Super Bowl XLVIII was an American football game between the American Football Conference (AFC) champion Denver Broncos and National Football Conference (NFC) champion Seattle Seahawks to decide the National Football League (NFL) champion for the 2013 season.'],In which American football game was Malcolm Smith named Most Valuable player?,Super Bowl XLVIII,PASS,halueval,Malcolm Smith was named Most Valuable Player in Super Bowl XLVIII.
3916,halueval-16,"[' The Playbills, which describe the musical as having ""explosions, negligible storytelling, camouflage and tits"", also state that the musical\'s cast included actors such as Taye Diggs (who would go on to play the role of Hedwig in the summer of 2015) and that the music was written by Metallica and Stephen R. Schwartz, which is the real name of ""Hedwig"" songwriter Stephen Trask. Metallica\'s current lineup comprises founding members Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.']",What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,"Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",PASS,halueval,"The current members of Metallica, who wrote the music for Hurt Locker The Musical, are Hetfield, Ulrich, Kirk Hammett, and Robert Trujillo."
3919,halueval-19,"[""Joseph John â€œJoeâ€ Heck (born October 30, 1961) is an American politician, physician, and U.S. Army Brigadier General who had served as the U.S. Representative for Nevada's 3rd congressional district from 2011 to 2017. He ran unsuccessfully against Democrat Catherine Cortez Masto in the general election for the open Nevada United States Senate seat in 2016. She previously served as the 32nd Attorney General of Nevada from 2007 to 2015.""]","American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",Nevada,PASS,halueval,"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, who previously served as the 32nd Attorney General of Nevada."
3922,halueval-22,"['Courtney Michelle Love (born Courtney Michelle Harrison; July 9, 1964) is an American singer, songwriter, actress, and visual artist. She rose to prominence as the frontwoman of the alternative rock band Hole, which she formed in 1989.The Wolfhounds are an indie pop/noise pop band formed in Romford, UK in 1985 by Dave Callahan, Paul Clark, Andy Golding, Andy Bolton and Frank Stebbing, and originally active until 1990.']","Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",The Wolfhounds,PASS,halueval,The Wolfhounds were founded first.
3923,halueval-23,"['Catching Fire is a 2009 science fiction young adult novel by the American novelist Suzanne Collins, the second book in ""The Hunger Games trilogy"". It is written in the voice of 16-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America.']",How old is the female main protagonist of Catching Fire?,16-year-old,PASS,halueval,16 years old
