Unnamed: 0,id,contexts,question,ground_truth,label,source_ds,answer,retrieved_documents
3901,halueval-1,"The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group.The Oberoi Group is a hotel company with its head office in Delhi.",The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,PASS,halueval, Delhi,"[{'content': 'The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group.The Oberoi Group is a hotel company with its head office in Delhi.', 'score': 1.92578125, 'rank': 1, 'document_id': '8dd911b2-12a1-4af7-90d3-f4b42b6029b7', 'passage_id': 0}]"
3902,halueval-2,"Allison Beth ""Allie"" Goertz (born March 2, 1991) is an American musician. Goertz is known for her satirical songs based on various pop culture topics. Her videos are posted on YouTube under the name of Cossbysweater.Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon's middle name.","Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,PASS,halueval, Richard Nixon,"[{'content': 'Allison Beth ""Allie"" Goertz (born March 2, 1991) is an American musician. Goertz is known for her satirical songs based on various pop culture topics. Her videos are posted on YouTube under the name of Cossbysweater.Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon\'s middle name.', 'score': 2.728515625, 'rank': 1, 'document_id': '4fc443a2-ee69-4a07-9f61-14f26528903f', 'passage_id': 0}]"
3903,halueval-3,"Margaret ""Peggy"" Seeger (born June 17, 1935) is an American folksinger. She is also well known in Britain, where she has lived for more than 30 years, and was married to the singer and songwriter Ewan MacColl until his death in 1989.James Henry Miller (25 January 1915 â€“ 22 October 1989), better known by his stage name Ewan MacColl, was an English folk singer, songwriter, communist, labour activist, actor, poet, playwright and record producer.", What nationality was James Henry Miller's wife?,American,PASS,halueval," American (Margaret ""Peggy"" Seeger)","[{'content': 'Margaret ""Peggy"" Seeger (born June 17, 1935) is an American folksinger. She is also well known in Britain, where she has lived for more than 30 years, and was married to the singer and songwriter Ewan MacColl until his death in 1989.James Henry Miller (25 January 1915 â€“ 22 October 1989), better known by his stage name Ewan MacColl, was an English folk singer, songwriter, communist, labour activist, actor, poet, playwright and record producer.', 'score': 5.21484375, 'rank': 1, 'document_id': '93c5093e-c599-475b-844f-415b369b5e13', 'passage_id': 0}]"
3907,halueval-7," Fighters from around world on the roster include Badr Hari, Peter Aerts, Peter Graham, Dewey Cooper, Zabit Samedov. It was considered as one of the biggest kickboxing and MMA promotion in Middle East.Badr Hari (Arabic: Ø¨Ø¯Ø± Ù‡Ø§Ø±ÙŠâ€Ž â€Ž ; born 8 December 1984) is a Moroccan-Dutch super heavyweight kickboxer from Amsterdam, fighting out of Mike's Gym in Oostzaan. Hari has been a prominent figure in the world of kickboxing and was once considered the best kickboxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.","Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",Badr Hari,PASS,halueval, Badr Hari,"[{'content': 'Fighters from around world on the roster include Badr Hari, Peter Aerts, Peter Graham, Dewey Cooper, Zabit Samedov. It was considered as one of the biggest kickboxing and MMA promotion in Middle East.Badr Hari (Arabic: Ø¨Ø¯Ø± Ù‡Ø§Ø±ÙŠâ€Ž â€Ž ; born 8 December 1984) is a Moroccan-Dutch super heavyweight kickboxer from Amsterdam, fighting out of Mike\'s Gym in Oostzaan. Hari has been a prominent figure in the world of kickboxing and was once considered the best kickboxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.', 'score': 5.3515625, 'rank': 1, 'document_id': '7d2afaf2-699a-423e-802c-bcad2e5760c2', 'passage_id': 0}]"
3908,halueval-8,"House of Anubis is a mystery television series developed for Nickelodeon based on the Dutch-Belgian television series ""Het Huis Anubis"". It first aired in September 2006 and the last episode was broadcast on December 4, 2009.","The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",2006,PASS,halueval,1997,"[{'content': 'House of Anubis is a mystery television series developed for Nickelodeon based on the Dutch-Belgian television series ""Het Huis Anubis"". It first aired in September 2006 and the last episode was broadcast on December 4, 2009.', 'score': 3.076171875, 'rank': 1, 'document_id': '98f4db1b-a2c4-41d4-929f-cc9730ca5022', 'passage_id': 0}]"
3909,halueval-9,"The 2013 Liqui Moly Bathurst 12 Hour was an endurance race for a variety of GT and touring car classes, including: GT3 cars, GT4 cars, Group 3E Series Production Cars and Dubai 24 Hour cars. The event, which was staged at the Mount Panorama Circuit, near Bathurst, in New South Wales, Australia on 10 February 2013, was the eleventh running of the Bathurst 12 Hour.Mount Panorama Circuit is a motor racing track located in Bathurst, New South Wales, Australia. The 6.213 km long track is technically a street circuit, and is a public road, with normal speed restrictions, when no racing events are being run, and there are many residences which can only be accessed from the circuit.",What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,6.213 km long,PASS,halueval,6.213 km,"[{'content': 'The 2013 Liqui Moly Bathurst 12 Hour was an endurance race for a variety of GT and touring car classes, including: GT3 cars, GT4 cars, Group 3E Series Production Cars and Dubai 24 Hour cars. The event, which was staged at the Mount Panorama Circuit, near Bathurst, in New South Wales, Australia on 10 February 2013, was the eleventh running of the Bathurst 12 Hour.Mount Panorama Circuit is a motor racing track located in Bathurst, New South Wales, Australia. The 6.213 km long track is technically a street circuit, and is a public road, with normal speed restrictions, when no racing events are being run, and there are many residences which can only be accessed from the circuit.', 'score': 4.390625, 'rank': 1, 'document_id': '8f796405-34df-41bb-bd68-f273433a8cad', 'passage_id': 0}]"
3910,halueval-10," Vocals are handled by Aesop Rock, with guest appearances from Camu Tao and Metro of S.A. Smash and Definitive Jux label head El-P.Jaime Meline (born March 2, 1975), better known by his stage name El-P (shortened from El Producto), is an American hip hop recording artist, record producer, and record executive.","Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",Jaime Meline,PASS,halueval, El-P,"[{'content': 'Vocals are handled by Aesop Rock, with guest appearances from Camu Tao and Metro of S.A. Smash and Definitive Jux label head El-P.Jaime Meline (born March 2, 1975), better known by his stage name El-P (shortened from El Producto), is an American hip hop recording artist, record producer, and record executive.', 'score': 4.54296875, 'rank': 1, 'document_id': '1e3461b6-0c97-4f50-9132-5c863c6d5af0', 'passage_id': 0}]"
3912,halueval-12,"Die RhÃ¶ner SÃ¤uwÃ¤ntzt are a Skiffle-Bluesband from Eichenzell-LÃ¼tter in Hessen, Germany. Originating as a term in the United States in the first half of the 20th century, it became popular again in the UK in the 1950s, where it was associated with artists such as Lonnie Donegan, The Vipers Skiffle Group, Ken Colyer and Chas McDevitt.",Where did the form of music played by Die RhÃ¶ner SÃ¤uwÃ¤ntzt originate?,United States,PASS,halueval, Skiffle-Blues originated in the United States.,"[{'content': 'Die RhÃ¶ner SÃ¤uwÃ¤ntzt are a Skiffle-Bluesband from Eichenzell-LÃ¼tter in Hessen, Germany. Originating as a term in the United States in the first half of the 20th century, it became popular again in the UK in the 1950s, where it was associated with artists such as Lonnie Donegan, The Vipers Skiffle Group, Ken Colyer and Chas McDevitt.', 'score': 4.2734375, 'rank': 1, 'document_id': '783efb70-9593-477c-8a8a-a7e6389bfe65', 'passage_id': 0}]"
3913,halueval-13, Smith was named the Most Valuable Player of Super Bowl XLVIII after they defeated the Denver Broncos.Super Bowl XLVIII was an American football game between the American Football Conference (AFC) champion Denver Broncos and National Football Conference (NFC) champion Seattle Seahawks to decide the National Football League (NFL) champion for the 2013 season.,In which American football game was Malcolm Smith named Most Valuable player?,Super Bowl XLVIII,PASS,halueval, Super Bowl XLVIII,"[{'content': 'Smith was named the Most Valuable Player of Super Bowl XLVIII after they defeated the Denver Broncos.Super Bowl XLVIII was an American football game between the American Football Conference (AFC) champion Denver Broncos and National Football Conference (NFC) champion Seattle Seahawks to decide the National Football League (NFL) champion for the 2013 season.', 'score': 5.87109375, 'rank': 1, 'document_id': 'b9a63ad3-0bba-4d3e-92da-9084c790f05a', 'passage_id': 0}]"
3916,halueval-16," The Playbills, which describe the musical as having ""explosions, negligible storytelling, camouflage and tits"", also state that the musical's cast included actors such as Taye Diggs (who would go on to play the role of Hedwig in the summer of 2015) and that the music was written by Metallica and Stephen R. Schwartz, which is the real name of ""Hedwig"" songwriter Stephen Trask. Metallica's current lineup comprises founding members Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,"Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",PASS,halueval," Metallica's current lineup comprises James Hetfield, Lars Ulrich, Kirk Hammett, and Robert Trujillo.","[{'content': 'The Playbills, which describe the musical as having ""explosions, negligible storytelling, camouflage and tits"", also state that the musical\'s cast included actors such as Taye Diggs (who would go on to play the role of Hedwig in the summer of 2015) and that the music was written by Metallica and Stephen R. Schwartz, which is the real name of ""Hedwig"" songwriter Stephen Trask. Metallica\'s current lineup comprises founding members Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.', 'score': 1.5439453125, 'rank': 1, 'document_id': 'a41b8d28-047d-4ca0-8174-0e14f90fe7db', 'passage_id': 0}]"
3919,halueval-19,"Joseph John â€œJoeâ€ Heck (born October 30, 1961) is an American politician, physician, and U.S. Army Brigadier General who had served as the U.S. Representative for Nevada's 3rd congressional district from 2011 to 2017. He ran unsuccessfully against Democrat Catherine Cortez Masto in the general election for the open Nevada United States Senate seat in 2016. She previously served as the 32nd Attorney General of Nevada from 2007 to 2015.","American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",Nevada,PASS,halueval, Nevada,"[{'content': ""Joseph John â€œJoeâ€\x9d Heck (born October 30, 1961) is an American politician, physician, and U.S. Army Brigadier General who had served as the U.S. Representative for Nevada's 3rd congressional district from 2011 to 2017. He ran unsuccessfully against Democrat Catherine Cortez Masto in the general election for the open Nevada United States Senate seat in 2016. She previously served as the 32nd Attorney General of Nevada from 2007 to 2015."", 'score': 11.21875, 'rank': 1, 'document_id': 'c6f001f3-f0da-441b-b47f-3a10e21ef980', 'passage_id': 0}]"
3922,halueval-22,"Courtney Michelle Love (born Courtney Michelle Harrison; July 9, 1964) is an American singer, songwriter, actress, and visual artist. She rose to prominence as the frontwoman of the alternative rock band Hole, which she formed in 1989.The Wolfhounds are an indie pop/noise pop band formed in Romford, UK in 1985 by Dave Callahan, Paul Clark, Andy Golding, Andy Bolton and Frank Stebbing, and originally active until 1990.","Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",The Wolfhounds,PASS,halueval, The Wolfhounds were founded first.,"[{'content': 'Courtney Michelle Love (born Courtney Michelle Harrison; July 9, 1964) is an American singer, songwriter, actress, and visual artist. She rose to prominence as the frontwoman of the alternative rock band Hole, which she formed in 1989.The Wolfhounds are an indie pop/noise pop band formed in Romford, UK in 1985 by Dave Callahan, Paul Clark, Andy Golding, Andy Bolton and Frank Stebbing, and originally active until 1990.', 'score': 5.84375, 'rank': 1, 'document_id': '8f4322b2-86ed-4b13-9d4e-58cd7035185f', 'passage_id': 0}]"
3923,halueval-23,"Catching Fire is a 2009 science fiction young adult novel by the American novelist Suzanne Collins, the second book in ""The Hunger Games trilogy"". It is written in the voice of 16-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America.",How old is the female main protagonist of Catching Fire?,16-year-old,PASS,halueval,16 years old,"[{'content': 'Catching Fire is a 2009 science fiction young adult novel by the American novelist Suzanne Collins, the second book in ""The Hunger Games trilogy"". It is written in the voice of 16-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America.', 'score': 5.78125, 'rank': 1, 'document_id': 'ee71980a-cf2a-492e-ab76-73e7c20b47e3', 'passage_id': 0}]"
3925,halueval-25,"The Quality Cafe (also known as Quality Diner) is a now-defunct diner at 1236 West 7th Street in Los Angeles, California. The restaurant ceased to function as a diner in late 2006 but has appeared as a location featured in a number of Hollywood films, including ""Training Day"", ""Old School"", ""Se7en"", ""Ghost World"", ""Gone in 60 Seconds"", ""The Stepfather"", ""What's Love Got to Do with It"", ""Sex and Death 101"", and ""Catch Me If You Can.""Old School is a 2003 American comedy film released by DreamWorks Pictures and The Montecito Picture Company and directed by Todd Phillips.",Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,Todd Phillips,PASS,halueval, Todd Phillips,"[{'content': 'The Quality Cafe (also known as Quality Diner) is a now-defunct diner at 1236 West 7th Street in Los Angeles, California. The restaurant ceased to function as a diner in late 2006 but has appeared as a location featured in a number of Hollywood films, including ""Training Day"", ""Old School"", ""Se7en"", ""Ghost World"", ""Gone in 60 Seconds"", ""The Stepfather"", ""What\'s Love Got to Do with It"", ""Sex and Death 101"", and ""Catch Me If You Can.""Old School is a 2003 American comedy film released by DreamWorks Pictures and The Montecito Picture Company and directed by Todd Phillips.', 'score': 4.4140625, 'rank': 1, 'document_id': '23cca766-6d63-4464-9dca-177bc885f6de', 'passage_id': 0}]"
3926,halueval-26," It helped jump start the careers of several young performers including Paul Lynde, Alice Ghostley, Eartha Kitt, Robert Clary, Carol Lawrence, Ronny Graham, performer/writer Mel Brooks (as Melvin Brooks), and lyricist Sheldon Harnick.Carol Lawrence (born September 5, 1932) is an American actress, most often associated with musical theatre, but who has also appeared extensively on television.","New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",Carol Lawrence,PASS,halueval, Carol Lawrence,"[{'content': 'It helped jump start the careers of several young performers including Paul Lynde, Alice Ghostley, Eartha Kitt, Robert Clary, Carol Lawrence, Ronny Graham, performer/writer Mel Brooks (as Melvin Brooks), and lyricist Sheldon Harnick.Carol Lawrence (born September 5, 1932) is an American actress, most often associated with musical theatre, but who has also appeared extensively on television.', 'score': 2.474609375, 'rank': 1, 'document_id': 'de31039b-1bd9-4709-baa7-ad58ab119393', 'passage_id': 0}]"
