Unnamed: 0,id,contexts,question,ground_truth,label,source_ds,answer,retrieved_documents
1000,25985014,"We investigated the role of surgical ablation targeting the autonomous nervous system during a Cox-Maze IV procedure in the maintenance of sinus rhythm at long-term follow-up.
The patient population consisted of 519 subjects with persistent or long-standing persistent atrial fibrillation (AF) undergoing radiofrequency Maze IV during open heart surgery between January 2006 and July 2013 at three institutions without (Group 1) or with (Group 2) ganglionated plexi (GP) ablation. Recurrence of atrial fibrillation off-antiarrhythmic drugs was the primary outcome. Predictors of AF recurrence were evaluated by means of competing risk regression. Median follow-up was 36.7 months.
The percentage of patients in normal sinus rhythm (NSR) off-antiarrhythmic drugs did not differ between groups (Group 1-75.5%, Group 2-67.8%, p = 0.08). Duration of AF â‰¥ 38 months (p = 0.01), left atrial diameter â‰¥ 54 mm (0.001), left atrial area â‰¥ 33 cm(2) (p = 0.005), absence of connecting lesions (p= 0.04), and absence of right atrial ablation (p<0.001) were independently associated with high incidence of AF recurrence. In contrast the absence of GP ablation was not a significant factor (p = 0.12).",Is ganglionated plexi ablation during Maze IV procedure beneficial for postoperative long-term stable sinus rhythm?,No. GP ablation did not prove to be beneficial for postoperative stable NSR. A complete left atrial lesion set and biatrial ablation are advisable for improving rhythm outcomes. Randomized controlled trials are necessary to confirm our findings.,PASS,pubmedQA," I don't have information to answer that question directly. For specific medical queries, it is best to consult with a healthcare professional.","infected with this coronavirus may be infectious while incubating or asymptomatic, and the reports that up to 5 m people left Wuhan before the travel restrictions were imposed, are confirmed, the efficacy of these control measures will be more challenged.

infected with this coronavirus may be infectious while incubating or asymptomatic, and the reports that up to 5 m people left Wuhan before the travel restrictions were imposed, are confirmed, the efficacy of these control measures will be more challenged.

infected with this coronavirus may be infectious while incubating or asymptomatic, and the reports that up to 5 m people left Wuhan before the travel restrictions were imposed, are confirmed, the efficacy of these control measures will be more challenged."
1001,16195477,"Obesity is associated with an increased risk for cardiovascular disease. Although it is known that white adipose tissue (WAT) produces numerous proinflammatory and proatherogenic cytokines and chemokines, it is unclear whether adipose-derived chemotactic signals affect the chronic inflammation in atherosclerosis.
Histological examination showed that perivascular WAT (pWAT) is in close proximity to vascular walls, particularly at sites that have a tendency to develop atherosclerosis. In rodents, the amount of pWAT is markedly increased by a high-fat diet. At a functional level, supernatant from subcutaneous and pWAT strongly induced the chemotaxis of peripheral blood leukocytes. The migration of granulocytes and monocytes was mostly mediated by interleukin-8 and monocyte chemoattractant protein-1, respectively, whereas both chemokines contributed to the migration of activated T cells. Moreover, pWAT produces these chemokines, as shown by immunohistochemistry and by explant culture. The accumulation of macrophages and T cells at the interface between pWAT and the adventitia of human atherosclerotic aortas may reflect this prochemotactic activity of pWAT.",Production of chemokines by perivascular adipose tissue: a role in the pathogenesis of atherosclerosis?,"Yes. Human pWAT has chemotactic properties through the secretion of different chemokines, and we propose that pWAT might contribute to the progression of obesity-associated atherosclerosis.",PASS,pubmedQA," Redox signalling since p38 inhibition mimics effects of N-acetyl-cysteine (NAC), but NAC does not affect H5N1-induced cytokine/chemokine expression, so its role in the production of chemokines by perivascular adipose tissue in atherosclerosis is unclear based on this information.","redox signalling since p38 inhibition had been shown before to mimick effects of the antioxidant N-acetyl-cysteine (NAC) [34] . Interestingly and in contrast to glycyrrhizin, NAC failed to inhibit H5N1 replication or H5N1-induced cytokine/chemokine expression in therapeutically relevant concentrations.

redox signalling since p38 inhibition had been shown before to mimick effects of the antioxidant N-acetyl-cysteine (NAC) [34] . Interestingly and in contrast to glycyrrhizin, NAC failed to inhibit H5N1 replication or H5N1-induced cytokine/chemokine expression in therapeutically relevant concentrations.

redox signalling since p38 inhibition had been shown before to mimick effects of the antioxidant N-acetyl-cysteine (NAC) [34] . Interestingly and in contrast to glycyrrhizin, NAC failed to inhibit H5N1 replication or H5N1-induced cytokine/chemokine expression in therapeutically relevant concentrations."
1002,12848629,"Tuberculosis has increased in parallel with the acquired immunodeficiency syndrome epidemic and the use of immunosuppressive therapy, and the growing incidence of extra-pulmonary tuberculosis, especially with intestinal involvement, reflects this trend. However, the duration of anti-tuberculous therapy has not been clarified in intestinal tuberculosis.AIM: To compare the efficacy of different treatment durations in tuberculous enterocolitis in terms of response and recurrence rates.
Forty patients with tuberculous enterocolitis were randomized prospectively: 22 patients into a 9-month and 18 into a 15-month group. Diagnosis was made either by colonoscopic findings of discrete ulcers and histopathological findings of caseating granuloma and/or acid-fast bacilli, or by clinical improvement after therapeutic trial. Patients were followed up with colonoscopy every other month until complete response or treatment completion, and then every 6 months for 1 year and annually. Complete response was defined as a resolution of symptoms and active tuberculosis by colonoscopy.
Complete response was obtained in all patients in both groups. Two patients in the 9-month group and one in the 15-month group underwent operation due to intestinal obstruction and perianal fistula, respectively. No recurrence of active intestinal tuberculosis occurred during the follow-up period in either group.",Is a 9-month treatment sufficient in tuberculous enterocolitis?,Yes. Tuberculous enterocolitis can be managed by 9-month chemotherapy without disease recurrence. Further investigations are needed in immunocompromised patients.,PASS,pubmedQA, I don't have real-time data or the ability to make medical diagnoses. It is recommended to consult with a healthcare professional for advice on treatment duration for tuberculous enterocolitis.,"All five patients were immunocompetent young men with a median age of 32 years (range, 28 to 40 years). All of the patients shared a B blood type and came from the same city: Baoding city, Hebei province, northern China. All patients had no exposure to farm animals, corn or hay. Patient 3 had tuberculosis pleuritis and received antituberculosis therapy at ICU admission. His blood tests, including the T-SPOT tuberculosis assay (Oxford Immunotec, Marlborough, MA, USA) and antibody of Mycobacterium

All five patients were immunocompetent young men with a median age of 32 years (range, 28 to 40 years). All of the patients shared a B blood type and came from the same city: Baoding city, Hebei province, northern China. All patients had no exposure to farm animals, corn or hay. Patient 3 had tuberculosis pleuritis and received antituberculosis therapy at ICU admission. His blood tests, including the T-SPOT tuberculosis assay (Oxford Immunotec, Marlborough, MA, USA) and antibody of Mycobacterium

All five patients were immunocompetent young men with a median age of 32 years (range, 28 to 40 years). All of the patients shared a B blood type and came from the same city: Baoding city, Hebei province, northern China. All patients had no exposure to farm animals, corn or hay. Patient 3 had tuberculosis pleuritis and received antituberculosis therapy at ICU admission. His blood tests, including the T-SPOT tuberculosis assay (Oxford Immunotec, Marlborough, MA, USA) and antibody of Mycobacterium"
1003,20594006,"Tethering of the spinal cord is thought to increase the chance of neurological injury when scoliosis correction is undertaken. All patients with myelomeningocele (MM) are radiographically tethered, and untethering procedures carry significant morbidity risks including worsening neurological function and wound complications. No guidelines exist as regards untethering in patients with MM prior to scoliosis correction surgery. The authors' aim in this study was to evaluate their experience in patients with MM who were not untethered before scoliosis correction.
Seventeen patients with MM were retrospectively identified and 1) had no evidence of a clinically symptomatic tethered cord, 2) had undergone spinal fusion for scoliosis correction, and 3) had not been untethered for at least 1 year prior to surgery. The minimum follow-up after fusion was 2 years. Charts and radiographs were reviewed for neurological or shunt complications in the perioperative period.
The average age of the patients was 12.4 years, and the following neurological levels were affected: T-12 and above, 7 patients; L-1/L-2, 6 patients; L-3, 2 patients; and L-4, 2 patients. All were radiographically tethered as confirmed on MR imaging. Fourteen of the patients (82%) had a ventriculoperitoneal shunt. The mean Cobb angle was corrected from 82 degrees to 35 degrees , for a 57% correction. All patients underwent neuromonitoring of their upper extremities, and some underwent lower extremity monitoring as well. Postoperatively, no patient experienced a new cranial nerve palsy, shunt malfunction, change in urological function, or upper extremity weakness/sensory loss. One patient had transient lower extremity weakness, which returned to baseline within 1 month of surgery.",A patient with myelomeningocele: is untethering necessary prior to scoliosis correction?,"No. The study results suggested that spinal cord untethering may be unnecessary in patients with MM who are undergoing scoliosis corrective surgery and do not present with clinical symptoms of a tethered cord, even though tethering is radiographically demonstrated.",PASS,pubmedQA," I don't have real-time access to medical databases, but in general, the necessity of untethered release (untethering) before scoliosis correction in a patient with myelomeningocele may depend on the specific case and its associated complications. It is advisable to consult with a healthcare professional for accurate information regarding this patient's situation.","the cohort and the repeated scans allowed us to verify the imaging findings in this rare disease.

the cohort and the repeated scans allowed us to verify the imaging findings in this rare disease.

the cohort and the repeated scans allowed us to verify the imaging findings in this rare disease."
1004,15995461,"This article examines the hypothesis that the six U.S. states with the highest rates of road traffic deaths (group 1 states) also had above-average rates of other forms of injury such as falling, poisoning, drowning, fire, suffocation, homicide, and suicide, and also for the retail trade and construction industries. The converse, second hypothesis, for the six states with the lowest rates of road traffic deaths (group 2 states) is also examined.
Data for these 12 states for the period 1983 to 1995 included nine categories of unintentional and four categories of intentional injury. Seventy-four percent of the group 1 states conformed to the first hypothesis, and 85% of the group 2 states conformed to the second hypothesis.",Do some U.S. states have higher/lower injury mortality rates than others?,"Yes. Group 1 states are likely to exhibit above-average rates for most other categories of injury death, whereas group 2 states are even more likely to exhibit below-average rates for most other categories of injury death.",PASS,pubmedQA," Yes, some U.S. states have higher or lower injury mortality rates compared to others. These rates can vary due to a number of factors including demographics, socioeconomic conditions, and state-specific laws and regulations.","for example â€” seem to be at higher risk of developing serious COVID-19 illness. A CDC Morbidity & Mortality Weekly Report that looked at severity of disease among COVID-19 cases in the United States by age group found that 80% of deaths were among adults 65 years and older with the highest percentage of severe outcomes occurring in people 85 years and older.

for example â€” seem to be at higher risk of developing serious COVID-19 illness. A CDC Morbidity & Mortality Weekly Report that looked at severity of disease among COVID-19 cases in the United States by age group found that 80% of deaths were among adults 65 years and older with the highest percentage of severe outcomes occurring in people 85 years and older.

for example â€” seem to be at higher risk of developing serious COVID-19 illness. A CDC Morbidity & Mortality Weekly Report that looked at severity of disease among COVID-19 cases in the United States by age group found that 80% of deaths were among adults 65 years and older with the highest percentage of severe outcomes occurring in people 85 years and older."
1005,24013712,"Platelet count is inversely related to prognosis in many cancers; however, its role in esophageal cancer is still controversial. The purpose of this study was to determine the prognostic value of preoperative platelet count in esophageal squamous cell carcinoma (ESCC).
From January 2006 to December 2008, a retrospective analysis of 425 consecutive patients with ESCC was conducted. A receiver operating characteristic (ROC) curve for survival prediction was plotted to verify the optimum cutoff point for preoperative platelet count. Univariate and multivariate analyses were performed to evaluate the prognostic parameters.
A ROC curve for survival prediction was plotted to verify the optimum cutoff point for platelet count, which was 205 (Ã— 10(9)/L). Patients with platelet count â‰¤ 205 had a significantly better 5-year survival than patients with a platelet count>205 (60.7 vs. 31.6 %, P<0.001). The 5-year survival of patients either with platelet count â‰¤ 205 or>205 were similar (68.6 vs. 58.8 %, P = 0.085) when the nodes were negative. However, the 5-year survival of patients with platelet count â‰¤ 205 was better than that of patients with a platelet count>205 when the nodes were involved (32.0 vs. 12.7 %, P = 0.004). Multivariate analysis showed that platelet count (P = 0.013), T grade (P = 0.017), and N staging (P<0.001) were independent prognostic factors.",Preoperative platelet count in esophageal squamous cell carcinoma: is it a prognostic factor?,"Yes. Preoperative platelet count is a predictive factor for long-term survival in ESCC, especially in nodal-positive patients. We conclude that 205 (Ã—10(9)/L) may be the optimum cutoff point for platelet count in predicting survival in ESCC patients.",PASS,pubmedQA," Yes, preoperative platelet count is a prognostic factor in esophageal squamous cell carcinoma.","Platelet count is inversely related to prognosis in many cancers; however, its role in esophageal cancer is still controversial. The purpose of this study was to determine the prognostic value of preoperative platelet count in esophageal squamous cell carcinoma (ESCC).

From January 2006 to December 2008, a retrospective analysis of 425 consecutive patients with ESCC was conducted. A receiver operating characteristic (ROC) curve for survival prediction was plotted to verify the optimum cutoff point for preoperative platelet count. Univariate and multivariate analyses were performed to evaluate the prognostic parameters.

205 was better than that of patients with a platelet count>205 when the nodes were involved (32.0 vs. 12.7 %, P = 0.004). Multivariate analysis showed that platelet count (P = 0.013), T grade (P = 0.017), and N staging (P<0.001) were independent prognostic factors."
1006,25675614,"Diabetes mellitus (DM) is undiagnosed in approximately half of the patients actually suffering from the disease. In addition, the prevalence of DM is more than twice as high as in patients with periodontitis when compared to periodontally healthy subjects. Thus, a high number of patients with periodontitis may have undiagnosed DM. The purpose of the present study was to evaluate whether blood oozing from a gingival crevice during routine periodontal examination can be used for determining glucose levels.
Observational cross-sectional studies were carried out in 75 patients (43 males and 32 females) with chronic periodontitis who were divided into two groups: Group I and Group II, respectively. Blood oozing from the gingival crevices of anterior teeth following periodontal probing was collected with the stick of glucose self-monitoring device, and the blood glucose levels were measured. At the same time, finger-prick blood was taken for glucometric analysis and subsequent readings were recorded.
The patient's blood glucose values ranged from 74 to 256 mg/dl. The comparison between gingival crevicular blood and finger-prick blood showed a very strong correlation, with a t value of 3.97 (at P value = 0.001).",Can gingival crevicular blood be relied upon for assessment of blood glucose level?,Yes. The data from this study has shown that GCB collected during diagnostic periodontal examination can be an excellent source of blood for glucometric analysis.,PASS,pubmedQA," No, gingival crevicular blood is not reliable for assessing blood glucose levels.","passage 2:If youâ€™re sizing up Waterpik vs. Flossing and wondering which one your dentist would recommend, which one is easier, and which one leaves your mouth feeling cleaner, you probably think the Waterpik would win hands down. But does the device really offer all of the benefits it claims it does, and can it beat out the old standby of flossing?

passage 2:If youâ€™re sizing up Waterpik vs. Flossing and wondering which one your dentist would recommend, which one is easier, and which one leaves your mouth feeling cleaner, you probably think the Waterpik would win hands down. But does the device really offer all of the benefits it claims it does, and can it beat out the old standby of flossing?

passage 2:If youâ€™re sizing up Waterpik vs. Flossing and wondering which one your dentist would recommend, which one is easier, and which one leaves your mouth feeling cleaner, you probably think the Waterpik would win hands down. But does the device really offer all of the benefits it claims it does, and can it beat out the old standby of flossing?"
1007,24684514,"Optimization of the preoperative hemoglobin (Hb) level is an effective way to reduce allogeneic transfusion in total knee arthroplasty (TKA) though the procedure is expensive, requires close monitoring and is often inconvenient for patients with reduced mobility. Our aim was to investigate the value of preoperative Hb levels to predict transfusion and thereby tailoring Hb optimization to patient characteristics.
All consecutive patients who undergone primary TKA in our center over 2Â years, and received tranexamic acid intraoperatively, were reviewed. The adjusted association between preoperative Hb levels and transfusion was assessed by multivariate logistic regression, and the estimated probability of transfusion for individual patients was derived from the logistic model.
Out of the 784 patients who meet the inclusion criteria, risk of transfusion was associated with poorer performance status, as measured by the America Association of Anestesiology (ASA) score III/IV (OR: 3Â·3, PÂ <Â 0Â·001) and lower preoperative Hb level (OR 3Â·8 for each g/dl below 13Â g/dl; PÂ <Â 0Â·001). According to the Hb level, the estimated probability of transfusion was 0Â·03 (range: 0Â·03-0Â·64) for ASA I/II patients and 0Â·10 (range: 0Â·10-0Â·84) for ASA III/IV.",Should all patients be optimized to the same preoperative hemoglobin level to avoid transfusion in primary knee arthroplasty?,"No. Not all the patients undergoing TKA who receive tranexamic acid need the same preoperative Hb optimization target. Two easily available factors, such as the ASA score and the Hb level, can help individualize the Hb optimization target.",PASS,pubmedQA," No, there is no one-size-fits-all approach for preoperative hemoglobin optimization. Individual patient factors should be considered before making decisions regarding blood transfusions during primary knee arthroplasty.","hematocrit [HCT]) analysis was performed on blood counter (VG-MS4e Â® , Melet SchloesÄ±ng, France).

hematocrit [HCT]) analysis was performed on blood counter (VG-MS4e Â® , Melet SchloesÄ±ng, France).

hematocrit [HCT]) analysis was performed on blood counter (VG-MS4e Â® , Melet SchloesÄ±ng, France)."
1008,9142039,"To assess the relationship between the experience of pediatric housestaff and tests ordered on infants in the neonatal intensive care unit (ICU).
Prospective, cohort study over one full academic year.
One academic Level III neonatal intensive care nursery.
Data were collected prospectively on all 785 infants admitted to the neonatal ICU from July 1993 to June 1994. These infants were cared for by 14 different categorical pediatric housestaff.
Our neonatal ICU has either a resident or an intern on-call by himself/herself at night, affording us a natural setting to compare intern vs. resident test ordering. The outcomes of interest were number of arterial blood gases, radiographs, and electrolytes ordered per infant by the on-call pediatric houseofficer, as tabulated the morning after the call night. Control variables included the severity-of-illness of the individual infant (using the Neonatal Therapeutic Intervention Scoring System), the workload of the houseofficer (number of patients, number of admissions), and supervision (rounding frequency and on-call attending). Controlling for the severity-of-illness of the infant, the workload on the call night, and supervision with multiple linear regression, we found that interns ordered significantly (p = .02) greater numbers of arterial blood gases per infant than residents, amounting to some 0.33 blood gases per infant per call night (3.22 vs. 2.89 arterial blood gases per infant per night). This increase of 0.33 blood gases per infant amounts to interns ordering $169 more arterial blood gases per call night at our institution. There was no difference between interns and residents in ordering radiographs or electrolytes.",Does pediatric housestaff experience influence tests ordered for infants in the neonatal intensive care unit?,"Yes. Interns order significantly more arterial blood gases per infant than junior and senior residents on-call in the neonatal ICU. Additional study is required to see if the experience of housestaff is associated with a broader array of neonatal outcomes, such as morbidity and mortality.",PASS,pubmedQA," No, pediatric housestaff does not directly influence tests ordered for infants in the Neonatal Intensive Care Unit (NICU). The decision to order tests is typically based on clinical judgment and guidelines, not the specific staff member. However, their knowledge and experience may indirectly impact test selection due to their understanding of the patient's condition and available resources.","infected with this coronavirus may be infectious while incubating or asymptomatic, and the reports that up to 5 m people left Wuhan before the travel restrictions were imposed, are confirmed, the efficacy of these control measures will be more challenged.

infected with this coronavirus may be infectious while incubating or asymptomatic, and the reports that up to 5 m people left Wuhan before the travel restrictions were imposed, are confirmed, the efficacy of these control measures will be more challenged.

infected with this coronavirus may be infectious while incubating or asymptomatic, and the reports that up to 5 m people left Wuhan before the travel restrictions were imposed, are confirmed, the efficacy of these control measures will be more challenged."
1009,17342562,"Some patients with suspected common bile duct (CBD) stones are found to have sludge and no stones. Although sludge in the gallbladder is a precursor of gallbladder stones, the significance of bile duct sludge (BDS) is poorly defined. This study aimed to compare BDS with bile duct stones in terms of frequency, associated risk factors, and clinical outcome after endoscopic therapy.
The study enrolled 228 patients who underwent therapeutic endoscopic retrograde cholangiopancreatography (ERCP) for suspected choledocholithiasis. The patients were divided into two groups: patients with BDS but no stones on ERCP and patients with CBD stones. The presence of risk factors for bile duct stones (age, periampullary diverticulum, ductal dilation or angulation, previous open cholecystectomy) were assessed at ERCP. Follow-up data (36 +/- 19 months) were obtained from medical records and by patient questioning.
Bile duct sludge occurred in 14% (31/228) of patients and was more common in females. After endoscopic clearance, CBD stones recurred in 17% (33/197) of the patients with CBD stones, and in 16% (5/31) of the patients with BDS (p = 0.99). Common bile duct dilation was less common in the sludge group. The other known risk factors for recurrent CBD stones (age, previous open cholecystectomy, bile duct angulation, and the presence of a peripampullary diverticulum) were not statistically different between the two groups.",The clinical significance of bile duct sludge: is it different from bile duct stones?,No. The findings indicate that the clinical significance of symptomatic BDS is similar to that of CBD stones. Bile duct sludge seems to be an early stage of choledocholithiasis.,PASS,pubmedQA," No, the study found no significant difference in recurrence after endoscopic therapy between patients with bile duct sludge and those with bile duct stones.","Some patients with suspected common bile duct (CBD) stones are found to have sludge and no stones. Although sludge in the gallbladder is a precursor of gallbladder stones, the significance of bile duct sludge (BDS) is poorly defined. This study aimed to compare BDS with bile duct stones in terms of frequency, associated risk factors, and clinical outcome after endoscopic therapy.

Bile duct sludge occurred in 14% (31/228) of patients and was more common in females. After endoscopic clearance, CBD stones recurred in 17% (33/197) of the patients with CBD stones, and in 16% (5/31) of the patients with BDS (p = 0.99). Common bile duct dilation was less common in the sludge group. The other known risk factors for recurrent CBD stones (age, previous open cholecystectomy, bile duct angulation, and the presence of a peripampullary diverticulum) were not statistically different between the

The study enrolled 228 patients who underwent therapeutic endoscopic retrograde cholangiopancreatography (ERCP) for suspected choledocholithiasis. The patients were divided into two groups: patients with BDS but no stones on ERCP and patients with CBD stones. The presence of risk factors for bile duct stones (age, periampullary diverticulum, ductal dilation or angulation, previous open cholecystectomy) were assessed at ERCP. Follow-up data (36 +/- 19 months) were obtained from medical records and by"
